"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"EM-1","Epic","","Authentication","To Do","","","","2025/10/03","","2025/10/05","dark_purple"
"EM-5","Story","EM-1","Forgot Password Page (Frontend)","Done","Prothom Ghosh","EM Sprint 1","","2025/10/03","","2025/10/05","purple"
"EM-7","Story","EM-1","Login Page (Backend)","Done","Nahian","EM Sprint 1","","2025/10/03","","2025/10/05","purple"
"EM-2","Story","EM-1","Login Page (Frontend)","Done","Nahian","EM Sprint 1","","2025/10/03","","2025/10/05","purple"
"EM-4","Story","EM-1","User Database Connection","Done","Prothom Ghosh","EM Sprint 1","","2025/10/03","","2025/10/05","purple"
"EM-6","Story","EM-1","Forgot Password Page (Backend)","Done","Prothom Ghosh","EM Sprint 1","","2025/10/03","","2025/10/05","purple"
"EM-8","Story","EM-1","Sign up Page (Backend)","Done","Al Mahmud","EM Sprint 1","","2025/10/03","","2025/10/05","purple"
"EM-3","Story","EM-1","Signup Page (Frontend)","Done","Al Mahmud","EM Sprint 1","","2025/10/03","","2025/10/05","purple"
"EM-9","Epic","","Cart/Checkout System","To Do","","","","2025/10/09","","2025/10/11","dark_green"
"EM-11","Story","EM-9","Cart (Backend)","Done","Prothom Ghosh","EM Sprint 5","","2025/10/10","","2025/10/11","purple"
"EM-10","Story","EM-9","Cart (Frontend)","Done","Prothom Ghosh","EM Sprint 5","","2025/10/10","","2025/10/11","purple"
"EM-15","Story","EM-9","Payment (Backend)","Done","Nahian","EM Sprint 5","","2025/10/10","","2025/10/11","purple"
"EM-14","Story","EM-9","Payment (Frontend)","Done","Nahian","EM Sprint 5","","2025/10/10","","2025/10/11","purple"
"EM-13","Story","EM-9","Checkout (Backend)","Done","Nahian","EM Sprint 4","","2025/10/09","","2025/10/11","purple"
"EM-12","Story","EM-9","Checkout (Frontend)","Done","Nahian","EM Sprint 4","","2025/10/09","","2025/10/11","purple"
"EM-46","Story","EM-9","service_booking","Done","Prothom Ghosh","EM Sprint 6","","2025/10/10","","2025/10/11","purple"
"EM-16","Story","EM-9","Create purchase Database","Done","Al Mahmud","EM Sprint 6","","2025/10/10","","2025/10/11","purple"
"EM-50","Story","EM-9","Add_to_cart","Done","Prothom Ghosh","EM Sprint 6","","2025/10/10","","2025/10/11","purple"
"EM-17","Epic","","Dashboard/Shop","To Do","","","","2025/10/09","","2025/10/11","dark_purple"
"EM-22","Story","EM-17","Shop/Services Page (Frontend)","Done","Al Mahmud","EM Sprint 5","","2025/10/10","","2025/10/11","purple"
"EM-23","Story","EM-17","Shop/Services Page (Backend)","Done","Al Mahmud","EM Sprint 5","","2025/10/10","","2025/10/11","purple"
"EM-21","Story","EM-17","Profile Page (Backend)","Done","Prothom Ghosh","EM Sprint 4","","2025/10/09","","2025/10/11","purple"
"EM-20","Story","EM-17","Profile Page (Frontend)","Done","Prothom Ghosh","EM Sprint 4","","2025/10/09","","2025/10/11","purple"
"EM-18","Story","EM-17","Home Page (Frontend)","Done","Al Mahmud","EM Sprint 4","","2025/10/09","","2025/10/11","purple"
"EM-19","Story","EM-17","Home Page (Backend)","Done","Al Mahmud","EM Sprint 4","","2025/10/09","","2025/10/11","purple"
